Timestamp,"On a scale from 1 to 5, how would you rate your knowledge and understanding of Artificial Intelligence (AI)?","On a scale from 1 to 5, how often do you use Artificial Intelligence (AI) for personal use?","On a scale from 1 to 5, how often do you use Artificial Intelligence (AI) for school-related tasks?","On a scale from 1 to 5, how interested are you in pursuing a career in Artificial Intelligence?",Do you know what Chat-GPT is?,What college are you in?
4/20/2023 11:36:51,4,3,4,2,Yes,"Science, Engineering, & Technology"
4/20/2023 11:47:01,3,2,2,1,Yes,"Science, Engineering, & Technology"
4/20/2023 12:52:52,4,2,4,1,No,Business
4/20/2023 13:02:08,4,3,4,2,Yes,Business
4/20/2023 13:02:16,3,2,1,1,Yes,Humanities & Social Sciences
4/20/2023 13:02:51,3,1,3,1,Yes,Business
4/20/2023 15:45:50,4,3,2,3,Yes,Business
4/20/2023 16:22:40,4,2,1,1,Yes,Nursing & Health Care
4/20/2023 16:35:07,3,1,1,2,Yes,"Science, Engineering, & Technology"
4/20/2023 16:47:12,3,2,1,1,Yes,Humanities & Social Sciences
4/20/2023 18:29:25,5,2,1,1,Yes,"Science, Engineering, & Technology"
4/20/2023 19:11:17,4,2,2,2,Yes,Business
4/20/2023 21:24:53,5,5,5,5,No,"Science, Engineering, & Technology"
4/21/2023 7:13:57,3,2,2,2,Yes,Humanities & Social Sciences
4/21/2023 7:29:18,2,1,2,1,Yes,Business
4/21/2023 8:50:49,3,2,2,2,Yes,Humanities & Social Sciences
4/21/2023 12:45:58,3,2,2,1,Yes,"Science, Engineering, & Technology"
4/21/2023 14:32:14,5,5,1,1,Yes,Business
4/21/2023 14:48:39,2,2,1,1,Yes,Education
4/21/2023 16:47:42,4,1,1,2,Yes,Business
4/21/2023 16:54:51,4,4,2,5,Yes,Business
4/22/2023 12:44:16,4,4,4,1,Yes,Business
4/22/2023 13:10:11,2,1,1,1,Yes,"Science, Engineering, & Technology"
4/24/2023 8:24:40,3,1,1,1,Yes,Education
4/24/2023 9:17:58,4,2,1,2,Yes,"Science, Engineering, & Technology"
4/24/2023 10:35:19,4,2,2,1,Yes,"Science, Engineering, & Technology"
4/24/2023 11:58:54,5,3,5,4,Yes,Business
4/24/2023 14:46:36,3,3,4,1,Yes,Business
4/24/2023 20:00:11,2,1,1,1,Yes,Humanities & Social Sciences
4/25/2023 7:36:36,3,2,3,3,Yes,"Science, Engineering, & Technology"
4/25/2023 8:14:47,5,2,1,1,No,Humanities & Social Sciences
4/25/2023 9:59:47,4,1,1,1,Yes,"Science, Engineering, & Technology"
4/25/2023 11:41:22,4,2,4,2,Yes,"Science, Engineering, & Technology"
4/25/2023 13:16:05,4,3,2,1,Yes,Business
4/25/2023 15:16:49,2,1,1,1,Yes,Business
4/26/2023 9:50:55,4,3,3,4,Yes,Humanities & Social Sciences
4/26/2023 10:48:29,4,2,3,1,Yes,Business
4/26/2023 12:12:55,3,1,1,1,Yes,Education
4/26/2023 13:13:44,3,1,1,1,Yes,Theology
4/27/2023 19:33:06,3,3,1,1,Yes,Humanities & Social Sciences
5/31/2023 13:51:38,3,2,2,1,Yes,"Science, Engineering, & Technology"
9/2/2023 14:02:38,3,1,1,1,Yes,"Science, Engineering, & Technology"
9/6/2023 16:06:46,4,2,1,1,Yes,Arts & Media
9/27/2023 14:36:39,4,4,4,5,Yes,"Science, Engineering, & Technology"
9/30/2023 14:50:40,3,2,2,1,Yes,Business
10/12/2023 11:59:11,3,2,2,2,Yes,"Science, Engineering, & Technology"
10/13/2023 14:29:10,4,3,2,3,Yes,"Science, Engineering, & Technology"
10/18/2023 10:33:47,4,4,4,4,Yes,"Science, Engineering, & Technology"
10/19/2023 12:45:29,3,2,3,2,Yes,"Science, Engineering, & Technology"
10/24/2023 14:02:44,5,2,3,3,Yes,"Science, Engineering, & Technology"
10/24/2023 14:22:30,4,3,2,2,Yes,Arts & Media
10/25/2023 10:08:07,4,3,3,2,Yes,"Science, Engineering, & Technology"
11/6/2023 8:52:21,4,3,2,2,Yes,"Science, Engineering, & Technology"
1/25/2024 14:51:11,4,2,2,2,Yes,"Science, Engineering, & Technology"
